Distance,Speed,nGear,X,Y,Driver
963.1302777777776,196.0,4,-2261.011660158823,-1142.5984625798374,LEC
970.5589619330087,201.28,4,-2237.0,-1110.0,LEC
974.463611111111,204.0,5,-2209.355819461227,-1072.1295168760705,LEC
985.7256735890061,210.4,5,-2108.0,-932.0,LEC
988.5969444444443,212.0,5,-2090.193907134361,-906.7079790662161,LEC
1000.7636111111109,219.0,5,-2055.091784485423,-852.28726787923,LEC
1010.6302777777776,222.0,5,-2012.986281638886,-790.1087823242535,LEC
1012.7085069525315,222.8249984,5,-1998.0,-769.0,LEC
1020.2823082159342,225.8,5,-1933.0,-679.0,LEC
1023.2413888888887,227.0,5,-1911.7633013696454,-650.224111270864,LEC
1030.9540306776014,215.8625,5,-1868.0,-593.0,LEC
1041.0191666666665,200.0,5,-1804.3780644510828,-512.6062154117707,LEC
1046.6033101392793,183.2,5,-1768.0,-468.0,LEC
1048.8413888888888,176.0,5,-1753.3433928856252,-450.38310880288424,LEC
1058.7577935314707,149.54,5,-1685.0,-371.0,LEC
1060.8469541058325,143.13500672,5,-1670.0,-354.0,LEC
1063.7302777777777,134.0,3,-1645.5665219168538,-327.71560245399735,LEC
1072.0695584055284,116.25500416,3,-1565.0,-248.0,LEC
1075.7302777777777,108.0,2,-1546.8700270454592,-232.25384337748372,LEC
1079.4742901829459,102.1812528,2,-1530.0,-222.0,LEC
1080.2191666666665,101.0,2,-1525.1415842380613,-219.37797974816976,LEC
1084.4858333333332,96.0,2,-1489.0473992893833,-202.93517784369195,LEC
1084.8158085550692,95.48928822857143,2,-1486.0,-202.0,LEC
1091.0969444444443,85.0,2,-1425.6965124788428,-198.71580312550591,LEC
1091.3918387309345,84.6750016,2,-1423.0,-199.0,LEC
1094.6969444444442,81.0,2,-1394.4730076221879,-204.00863498988718,LEC
1098.1039061405404,80.23500032,2,-1359.0,-220.0,LEC
1099.1413888888885,80.0,2,-1344.8722348148738,-228.6683423261069,LEC
1102.0497019232487,79.05000045714286,2,-1304.0,-257.0,LEC
1105.2080555555551,78.0,2,-1280.1074821577515,-276.92003662748584,LEC
1110.2747222222217,76.0,2,-1267.1929849191838,-300.01987987712175,LEC
1110.554099745616,76.2166656,2,-1266.0,-302.0,LEC
1112.7310020942703,77.88333226666667,2,-1255.0,-321.0,LEC
1115.608055555555,80.0,2,-1238.4027230468087,-362.2337799758504,LEC
1118.780673482051,83.75800797335413,2,-1222.0,-412.0,LEC
1122.476944444444,88.0,2,-1209.0604984518136,-457.77085716858363,LEC
1127.5324999999993,91.0,2,-1198.6363152615163,-504.8350164329059,LEC
1130.0574427405202,96.21864046597494,2,-1194.0,-524.0,LEC
1135.8249999999994,107.0,2,-1183.9878773298153,-559.9694529948215,LEC
1141.7754648605064,116.5923076923077,2,-1173.0,-597.0,LEC
1151.0477266055473,129.97692307692307,2,-1147.0,-678.0,LEC
1155.4694444444438,136.0,2,-1120.8948211321185,-744.1051005366274,LEC
1160.207546068362,142.3,2,-1092.0,-814.0,LEC
1169.1583333333326,154.0,3,-1059.5470401257637,-888.1816065743957,LEC
1179.0916666666658,149.0,3,-1032.986515419477,-933.6454529274965,LEC
1181.229980867568,146.3500032,3,-1023.0,-950.0,LEC
1182.8275523125678,144.3500032,3,-1015.0,-963.0,LEC
1185.3583333333324,141.0,3,-1009.0349824924501,-972.04133954496,LEC
1189.721898756961,128.79,3,-1011.0,-966.0,LEC
1196.913888888888,104.0,3,-968.1896471308899,-1027.943766531553,LEC
1197.768419399686,101.3187552,3,-962.0,-1036.0,LEC
